ADRESSE_ID|||||||||||||||||||ERP_ID_ADRESSE
RCB_ADR000000380154|||||||||||||||||||149922
RCB_ADR000000380153|||||||||||||||||||102142
RCB_ADR000000380156|||||||||||||||||||177143
RCB_ADR000000380158|||||||||||||||||||86955
RCB_ADR000000380162|||||||||||||||||||180965
RCB_ADR000000380159|||||||||||||||||||158610
RCB_ADR000000380165|||||||||||||||||||112237
RCB_ADR000000380164|||||||||||||||||||81686
RCB_ADR000000380169|||||||||||||||||||81710
RCB_ADR000000380168|||||||||||||||||||158772
RCB_ADR000000380172|||||||||||||||||||168297
RCB_ADR000000380173|||||||||||||||||||148850
RCB_ADR000000380171|||||||||||||||||||176957
RCB_ADR000000380170|||||||||||||||||||140449
RCB_ADR000000380175|||||||||||||||||||130594
RCB_ADR000000380176|||||||||||||||||||152634
RCB_ADR000000380180|||||||||||||||||||150950
RCB_ADR000000380182|||||||||||||||||||77515
RCB_ADR000000380181|||||||||||||||||||105535
RCB_ADR000000380185|||||||||||||||||||77604
RCB_ADR000000380179|||||||||||||||||||93619
RCB_ADR000000380188|||||||||||||||||||155482
RCB_ADR000000380189|||||||||||||||||||130570
RCB_ADR000000380191|||||||||||||||||||164185
RCB_ADR000000380192|||||||||||||||||||179609
RCB_ADR000000380193|||||||||||||||||||76065
RCB_ADR000000380199|||||||||||||||||||138753
RCB_ADR000000380198|||||||||||||||||||88862
RCB_ADR000000380200|||||||||||||||||||123804
RCB_ADR000000380201|||||||||||||||||||125684
RCB_ADR000000380204|||||||||||||||||||95371
RCB_ADR000000380205|||||||||||||||||||190667
RCB_ADR000000380206|||||||||||||||||||101511
RCB_ADR000000380209|||||||||||||||||||180077
RCB_ADR000000380213|||||||||||||||||||112759
RCB_ADR000000380214|||||||||||||||||||154876
RCB_ADR000000380216|||||||||||||||||||80633
RCB_ADR000000380215|||||||||||||||||||173455
RCB_ADR000000380217|||||||||||||||||||164705
RCB_ADR000000380218|||||||||||||||||||70436
RCB_ADR000000380221|||||||||||||||||||155146
RCB_ADR000000380222|||||||||||||||||||130756
RCB_ADR000000380225|||||||||||||||||||171431
RCB_ADR000000380224|||||||||||||||||||130660
RCB_ADR000000380227|||||||||||||||||||120322
RCB_ADR000000383531|||||||||||||||||||111285
RCB_ADR000000383533|||||||||||||||||||67267
RCB_ADR000000383535|||||||||||||||||||181946
RCB_ADR000000383536|||||||||||||||||||75162
RCB_ADR000000383538|||||||||||||||||||129806
RCB_ADR000000383540|||||||||||||||||||130196
RCB_ADR000000383541|||||||||||||||||||158775
RCB_ADR000000383542|||||||||||||||||||176405
RCB_ADR000000383546|||||||||||||||||||74189
RCB_ADR000000383547|||||||||||||||||||103643
RCB_ADR000000383551|||||||||||||||||||95099
RCB_ADR000000383556|||||||||||||||||||176619
RCB_ADR000000383555|||||||||||||||||||130258
RCB_ADR000000383553|||||||||||||||||||67355
RCB_ADR000000383554|||||||||||||||||||139272
RCB_ADR000000383559|||||||||||||||||||69782
RCB_ADR000000383562|||||||||||||||||||176073
RCB_ADR000000383561|||||||||||||||||||75878
RCB_ADR000000383563|||||||||||||||||||164131
RCB_ADR000000383566|||||||||||||||||||95223
RCB_ADR000000383567|||||||||||||||||||95189
RCB_ADR000000383569|||||||||||||||||||95285
RCB_ADR000000383570|||||||||||||||||||108325
RCB_ADR000000383572|||||||||||||||||||150630
RCB_ADR000000383573|||||||||||||||||||67439
RCB_ADR000000383574|||||||||||||||||||97013
RCB_ADR000000383576|||||||||||||||||||176051
RCB_ADR000000383585|||||||||||||||||||177237
RCB_ADR000000383587|||||||||||||||||||70222
RCB_ADR000000383588|||||||||||||||||||138684
RCB_ADR000000383590|||||||||||||||||||67393
RCB_ADR000000383592|||||||||||||||||||75520
RCB_ADR000000383593|||||||||||||||||||103663
RCB_ADR000000383596|||||||||||||||||||107363
RCB_ADR000000383599|||||||||||||||||||131280
RCB_ADR000000383602|||||||||||||||||||75838
RCB_ADR000000383603|||||||||||||||||||117199
RCB_ADR000000383606|||||||||||||||||||164227
RCB_ADR000000383605|||||||||||||||||||130484
RCB_ADR000000383609|||||||||||||||||||192575
RCB_ADR000000383611|||||||||||||||||||95533
RCB_ADR000000383613|||||||||||||||||||131388
RCB_ADR000000383612|||||||||||||||||||67712
RCB_ADR000000383620|||||||||||||||||||66288
RCB_ADR000000383619|||||||||||||||||||95251
RCB_ADR000000383623|||||||||||||||||||173607
